Tanszék,Év,Q pontszám,Normalizált Q,I pontszám,IF,Normalizált IF,Publikációk száma,Lektorált folyóiratok száma,Konferenciacikkek száma,Könyv és könyvfejezet,Szabadalom,IF folyóiratok száma,D1,Q1,Q2,Q3,Q4
Differential_Equations,2018,7.501314285714286,4.299548760690009,118,6.368314285714286,2.882464230767888,16,10,2,0,0,7,1,0,5,1,0
Differential_Equations,2019,6.199166666666667,4.306024926944858,105,5.596166666666666,3.488901580441907,17,12,1,0,0,10,2,1,5,2,1
Differential_Equations,2020,17.329583333333332,10.285619585216653,107,16.289583333333333,9.245619585216653,16,12,1,2,0,10,2,7,1,0,1
Differential_Equations,2021,3.4748333333333337,2.527239395974161,112,2.6380833333333333,1.6868715353739672,12,6,2,1,0,3,0,1,1,1,0
Differential_Equations,2022,7.248166666666666,4.636460129633675,76,6.468166666666667,3.7777016427277585,12,8,2,0,0,5,1,3,3,0,0
Geometry,2003,6.341666666666667,6.800370370370372,7,0.9861666666666666,2.1587037037037033,23,17,5,0,0,4,0,0,2,9,0
Geometry,2004,1.1,1.1,19,0.0,0.0,7,3,2,0,0,0,0,0,0,0,1
Geometry,2005,3.6715,4.025355299600156,25,2.1215,2.4753552996001553,10,7,2,0,0,2,0,2,0,0,3
Geometry,2006,10.1405,9.15203127408841,46,7.903500000000001,7.427289006047173,11,9,0,1,0,5,1,1,2,1,1
Geometry,2007,7.111333333333334,7.215551516906301,34,3.0323333333333333,3.2075095588643427,13,10,2,1,0,5,1,0,3,4,2
Geometry,2008,4.120833333333333,3.572720125786163,30,1.0375,0.48938679245283023,13,11,1,0,0,1,1,0,0,1,4
Geometry,2009,2.8,2.9046511627906977,44,0.4385,0.6798449612403101,12,9,1,0,0,2,0,0,1,4,3
Geometry,2010,5.490333333333333,5.40906148867314,41,1.657,1.5019589866553829,16,13,2,0,0,2,0,0,2,2,0
Geometry,2011,7.193000000000001,7.241948757016507,52,4.001,4.277873470600793,20,16,1,0,0,5,1,1,2,3,2
Geometry,2012,9.466833333333334,9.324306220604589,55,6.425166666666667,7.34122200217849,23,17,4,0,0,11,1,0,7,6,1
Geometry,2013,10.426666666666668,10.133791400005604,39,5.789833333333334,5.872326258393404,24,16,6,2,0,9,0,1,6,3,3
Geometry,2014,8.360666666666667,10.209667567992227,57,5.7215,7.916935059197564,25,14,6,0,0,10,2,0,6,4,2
Geometry,2015,9.579083333333333,7.066344655148134,59,7.148583333333334,4.483552558569476,20,15,2,0,0,11,2,2,5,3,0
Geometry,2016,12.765522222222225,13.21026786362179,51,9.723855555555556,10.28678970947353,33,23,3,0,0,15,3,4,7,2,1
Geometry,2017,17.848875000000007,12.361168161797018,83,15.448374999999999,10.154982478329497,30,21,5,0,0,16,3,3,8,2,2
Geometry,2018,11.151075396825398,8.747957699234679,94,8.00815476190476,5.563202144332063,33,19,7,0,0,10,1,1,7,2,3
Geometry,2019,10.243809523809524,7.836897559405963,102,7.5183333333333335,5.082512103858749,33,19,7,1,0,11,2,2,7,3,4
Geometry,2020,10.444216666666668,7.262090443771788,86,8.840883333333332,5.559962689611025,22,20,0,0,0,14,1,0,11,1,4
Geometry,2021,12.828371794871796,10.244808501681614,109,10.904371794871796,8.159058948600045,23,18,3,0,0,13,2,5,5,2,1
Geometry,2022,14.71450476190476,10.333909213329893,99,13.335838095238094,8.821185533711635,28,22,4,0,0,19,4,5,9,2,2
Stochastics,2003,1.9945,3.567172242570372,4,1.5855000000000001,3.267172242570372,7,4,0,0,0,3,1,1,1,1,0
