source,target,size
Kói Tamás,Kói Tamás,39
Lality-Kovács Tünde,Lality-Kovács Tünde,3
Lovas Attila,Koós Krisztiánné Szilágyi Brigitta,6
Lovas Attila,Lovas Attila,6
Lukács Erzsébet,Lukács Erzsébet,40
Lángi Zsolt,G. Horváth Ákos,11
Lángi Zsolt,Lángi Zsolt,71
Lángné Lázi Márta,Lángné Lázi Márta,6
Lóczi Lajos,Faragó István György,4
Lóczi Lajos,Karátson János,8
Lóczi Lajos,Lóczi Lajos,19
Lóczi Lajos,Tóth János,2
Mala József,Mala József,2
Mala József,Pataki Gergely,2
Matolcsi Máté,Bodrogné Réffy Júlia Anna,6
Matolcsi Máté,Halmschlager Andrea,2
Matolcsi Máté,Matolcsi Máté,107
Matolcsi Máté,Nagy Béla,23
Matolcsi Máté,Nagyné Szilvási Márta,17
Matolcsi Máté,Szűcs Zsolt,1
Matolcsi Máté,Tasnádi Tamás Péter,2
Matolcsi Máté,Weiner Mihály,38
Milkovszki Tamás,Milkovszki Tamás,1
Mincsovics Miklós,Faragó István György,10
Mincsovics Miklós,Horváth Róbert,3
Mincsovics Miklós,Karátson János,3
Mincsovics Miklós,Mincsovics Miklós,17
Molnár Emil,Csima Géza,11
Molnár Emil,Koós Krisztiánné Szilágyi Brigitta,1
Molnár Emil,Molnár Emil,164
Molnár Emil,Prok István,98
Molnár Emil,Szirmai Jenő,176
Molnár Lajos Gábor,Gyenti Bálint,15
Molnár Lajos Gábor,Molnár Lajos Gábor,521
Molnár Lajos Gábor,Pitrik József,14
Molontay Roland,Bolla Marianna,1
Molontay Roland,Molontay Roland,66
Molontay Roland,Nagy Marcell,38
Molontay Roland,Simon Károly,8
Mosonyi Milán,Bunth Gergely,16
Mosonyi Milán,Lovas Attila,1
Mosonyi Milán,Molnár Lajos Gábor,5
Mosonyi Milán,Mosonyi Milán,139
Mosonyi Milán,Pitrik József,3
Mosonyi Milán,Szilágyi Zsombor,24
Mosonyi Milán,Vrana Péter,5
Mosonyi Milán,Weiner Mihály,24
Nagy Attila,Babcsányi István,30
Nagy Attila,Nagy Attila,88
Nagy Attila,Rónyai Lajos,4
Nagy Attila,Tóth Csaba,6
Nagy Attila,Wettl Ferenc,7
Nagy Béla,Matolcsi Máté,24
Nagy Béla,Nagy Béla,42
Nagy Béla,Nagyné Szilvási Márta,19
Nagy Gábor Péter,Nagy Gábor Péter,45
Nagy Ilona,Gyurkovics Éva,3
Nagy Ilona,Kiss Krisztina,2
Nagy Ilona,Nagy Ilona,5
Nagy Ilona,Tóth János,10
Nagy Marcell,Bolla Marianna,1
Nagy Marcell,Molontay Roland,32
Nagy Marcell,Nagy Marcell,24
Nagy Noémi,Horváth Róbert,1
Nagyné Szilvási Márta,Balla-Seethalerné Béla Szilvia,4
Nagyné Szilvási Márta,Matolcsi Máté,4
Nagyné Szilvási Márta,Molnár Emil,1
Nagyné Szilvási Márta,Nagy Béla,5
Nagyné Szilvási Márta,Nagyné Szilvási Márta,13
Pataki Gergely,Pataki Gergely,1
