auth1,auth2,size
Nagy Béla,Nagyné Szilvási Márta,14
Nagy Gábor Péter,0,189
Nagy Ilona,0,37
Nagy Ilona,Lángné Lázi Márta,3
Nagy Ilona,Tóth János,12
Nagy Katalin,0,18
Nagy Marcell,0,74
Nagy Marcell,Molontay Roland,22
Nagy Noémi,0,15
Nagyné Szilvási Márta,0,248
Nagyné Szilvási Márta,Balla-Seethalerné Béla Szilvia,10
Nágel Árpád,0,19
Pataki Gergely,0,44
Pataki Gergely,Tasnádi Tamás Péter,4
Pete Gábor,0,81
Pintér József,0,9
Pintér József,Molontay Roland,6
Pintér József,Nagy Marcell,6
Pitrik József,0,37
Prok István,0,132
Prok István,Szirmai Jenő,58
Prokaj Rudolf Dániel,0,7
Prokaj Rudolf Dániel,Simon Károly,2
Prőhle Péter,0,42
Rokob Sándor,0,16
Ráth Balázs,0,92
Ráth Balázs,Rokob Sándor,2
Ráth Balázs,Rónyai Lajos,2
Rónyai Lajos,0,462
Serény György,0,49
Simon András,0,57
Simon Károly,0,220
Simon Károly,Vágó Lajos,8
Simonovits András,0,1126
Simonovits András,Tóth János,8
Sipos Bence,0,39
Sipos Bence,Koós Krisztiánné Szilágyi Brigitta,10
Stubnya Gusztávné,0,9
Svantnerné Sebestyén Gabriella,0,20
Svantnerné Sebestyén Gabriella,Faragó István György,3
Svantnerné Sebestyén Gabriella,Horváth Róbert,3
Szabados Tamás,0,113
Szabó Szilárd,0,70
Szabó Sándor,0,69
Szilágyi Zsombor,0,7
Szilágyi Zsombor,Weiner Mihály,5
Szirmai Jenő,0,401
Szirmai Jenő,Csima Géza,4
Szirmai Jenő,Molnár Emil,2
Szántai Tamás,0,349
Szántai Tamás,Kovács Edith Alice,20
Szász Domokos,0,382
Szász Domokos,Tóth Imre Péter,14
Szép Gabriella,0,23
Szép Gabriella,Wettl Ferenc,2
Szűcs Zsolt,0,33
Szűcs Zsolt,Takács Balázs,4
Sági Gábor,0,127
Sándor Csaba,0,132
Takács Balázs,0,11
Takács Bálint Máté,0,38
Takács Bálint Máté,Faragó István György,14
Takács Bálint Máté,Horváth Róbert,12
Tasnádi Tamás Péter,0,42
Tóth Csaba,0,11
Tóth Imre Péter,0,69
Tóth János,0,510
Varga Anita,0,36
Vetier András,0,15
Vető Bálint,0,126
Vrana Péter,0,118
Vágó Lajos,0,28
Weiner Mihály,0,104
Wettl Ferenc,0,84
